idx_izmiran,idx_catalog,dt_hours,subset,datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year,omni_Bz_min,omni_Speed_max,omni_IMF_max,omni_Density_mean,feid_matched,feid_dt_h,feid_magnitude,feid_ons_label,feid_Vmax,feid_Bmax,feid_has_shock,cond_A_bz,cond_B_speed,cond_C_imf,fd_like_confirmed,bz_min,speed_max,imf_max,dv_max,bz_consec_min,imf_consec_min
46,31,-14.466666666666667,core,2019-05-10 17:54:00,70,1.3,SSC,380.0,11.9,ICME-shock,2019-05-10 17:54:00,313,2019-05-10 03:26:00,2019-05-10 03:26:00,2019-05-09 18:54:00,2019-05-11 03:50:00,32.93333333333333,2,2,"KIEL2,NANM",5.950218211279623,7.857844812768875,4.257246225282751,2019-05-09 18:54:00,2019-05-10 11:58:00,2019-05-10 23:18:00,2019-05-11 03:50:00,5,"FSMT,KERG,KIEL2,NANM,OULU",3,"FSMT,KERG,OULU",4.880866572645784,4.574550166164532,7.857844812768875,core,supported_multi_station_candidate,A,False,2019,-10.452,380.21,11.8775,9.218253546099291,True,14.466666666666667,1.3,SSC,380.0,11.9,True,False,True,False,True,-3.7,385.8,6.205,30.55000000000001,24.0,0.0
2,2,14.8,core,2019-01-10 14:00:00,47,0.55,,509.0,7.3,,2019-01-10 14:00:00,278,2019-01-11 04:48:00,2019-01-11 04:48:00,2019-01-10 20:28:00,2019-01-11 22:30:00,26.033333333333335,2,2,"JUNG,KERG",4.774563417745107,5.078728056135339,7.543060186698352,2019-01-10 20:28:00,2019-01-11 13:08:00,2019-01-11 00:02:00,2019-01-11 22:30:00,5,"JUNG,JUNG1,KERG,LMKS,NEWK",3,"JUNG1,LMKS,NEWK",4.155741401935377,4.3949618927693,5.078728056135339,core,supported_multi_station_candidate,A,False,2019,-3.298666666666667,512.8341666666666,6.930499999999999,4.85009375,True,-14.8,0.55,,509.0,7.3,False,False,True,False,True,-5.775,524.4,7.48,154.25,24.0,0.0
86,58,14.833333333333334,core,2019-08-20 02:00:00,44,0.68,,415.0,9.7,,2019-08-20 02:00:00,342,2019-08-20 16:50:00,2019-08-20 16:50:00,2019-08-20 16:50:00,2019-08-20 19:40:00,2.8333333333333335,1,1,JUNG,3.5575684026005416,3.5575684026005416,5.642449290866273,2019-08-20 16:50:00,2019-08-20 16:50:00,2019-08-20 19:40:00,2019-08-20 19:40:00,4,"APTY,JUNG,KERG,LMKS",3,"APTY,KERG,LMKS",3.398487423819639,3.609545516926432,3.7310015364831233,core,supported_multi_station_candidate,A,True,2019,-3.1431666666666667,418.62916666666666,9.994666666666665,7.947980492369361,True,-14.833333333333334,0.68,,415.0,9.7,False,False,True,True,True,-5.12,426.1,10.504999999999999,60.25,14.0,168.0
71,47,-15.1,core,2019-07-12 22:00:00,28,0.67,,461.0,6.6,,2019-07-12 22:00:00,330,2019-07-12 06:54:00,2019-07-12 06:54:00,2019-07-12 06:54:00,2019-07-13 02:00:00,19.1,1,1,JUNG1,4.525278130797939,4.525278130797939,7.618220595575661,2019-07-12 06:54:00,2019-07-12 06:54:00,2019-07-13 02:00:00,2019-07-13 02:00:00,3,"BKSN,JUNG,JUNG1",2,"BKSN,JUNG",4.287793102512524,4.525278130797939,4.806075882182401,core,supported_multi_station_candidate,B,True,2019,-3.3335,646.5541666666667,7.507499999999999,3.442665338345864,True,15.1,0.67,,461.0,6.6,False,False,True,False,True,-3.62,531.7,6.165,66.50000000000006,4.0,0.0
22,18,-15.166666666666666,core,2019-03-06 06:00:00,63,0.6,,493.0,9.8,,2019-03-06 06:00:00,298,2019-03-05 14:50:00,2019-03-05 14:50:00,2019-03-05 14:50:00,2019-03-06 21:34:00,30.733333333333334,1,1,JUNG1,3.558689428930079,3.558689428930079,6.189339812176702,2019-03-05 14:50:00,2019-03-05 14:50:00,2019-03-06 21:34:00,2019-03-06 21:34:00,3,"JUNG,JUNG1,LMKS",2,"JUNG,LMKS",3.9083170648635104,3.558689428930079,5.2945445988982645,core,supported_multi_station_candidate,B,True,2019,-4.1725,490.6816666666667,9.917833333333334,4.500993055555555,True,15.166666666666666,0.6,,493.0,9.8,False,False,True,False,True,-4.37,428.7,6.145,86.89999999999998,2.0,0.0
121,81,15.233333333333333,core,2019-11-06 22:00:00,36,0.36,,427.0,4.9,,2019-11-06 22:00:00,367,2019-11-07 13:14:00,2019-11-07 13:14:00,2019-11-06 20:54:00,2019-11-09 18:14:00,69.33333333333333,3,3,"AATB,KERG,NANM",4.65421000502949,5.605859562186907,11.981656507669046,2019-11-06 20:54:00,2019-11-08 21:50:00,2019-11-08 07:08:00,2019-11-09 18:14:00,5,"AATB,JUNG,JUNG1,KERG,NANM",2,"JUNG,JUNG1",4.018794230615039,3.971687927673968,5.605859562186907,core,supported_multi_station_candidate,A,False,2019,-2.662,427.74916666666667,5.3015215053763445,5.873479166666667,True,-15.233333333333333,0.36,,427.0,4.9,False,False,True,False,True,-4.074999999999999,433.4,5.6899999999999995,42.599999999999966,18.0,0.0
48,33,15.4,core,2019-05-15 18:00:00,45,0.83,,480.0,9.8,,2019-05-15 18:00:00,315,2019-05-16 09:24:00,2019-05-16 09:24:00,2019-05-13 21:16:00,2019-05-17 18:48:00,93.53333333333333,7,7,"AATB,ATHN,JUNG,KERG,LMKS,NEWK,ROME",4.657945881805857,7.538851007063041,6.9536724560765295,2019-05-13 21:16:00,2019-05-17 11:04:00,2019-05-15 07:22:00,2019-05-17 18:48:00,9,"AATB,ATHN,FSMT,JUNG,JUNG1,KERG,LMKS,NEWK,ROME",2,"FSMT,JUNG1",4.3860880621909395,3.8491176232375075,7.538851007063041,core,supported_multi_station_candidate,A,False,2019,-4.093500000000001,548.995,9.806333333333333,4.848272569444444,True,-15.4,0.83,,480.0,9.8,False,False,True,True,True,-5.215,492.15,9.035,89.89999999999998,18.0,150.0
96,64,15.4,core,2019-09-13 15:00:00,32,0.31,,541.0,8.1,,2019-09-13 15:00:00,349,2019-09-14 06:24:00,2019-09-14 06:24:00,2019-09-14 00:08:00,2019-09-14 16:38:00,16.5,2,2,"OULU,ROME",6.9584443321443965,9.503480682360141,3.742484334000875,2019-09-14 00:08:00,2019-09-14 12:40:00,2019-09-14 14:56:00,2019-09-14 16:38:00,4,"AATB,KERG,OULU,ROME",2,"AATB,KERG",5.299954783175383,4.141758273126108,9.503480682360141,core,supported_multi_station_candidate,A,False,2019,-4.0873333333333335,536.18,8.523666666666665,5.206105034722222,True,-15.4,0.31,,541.0,8.1,False,False,True,False,True,-3.0,571.2,4.2,90.90000000000003,0.0,0.0
12,8,15.6,core,2019-01-31 18:00:00,77,0.83,,627.0,15.7,,2019-01-31 18:00:00,285,2019-02-01 09:36:00,2019-02-01 09:36:00,2019-01-31 17:56:00,2019-02-03 15:00:00,69.06666666666666,4,4,"APTY,DRBS,JUNG1,NEWK",8.105281670530509,20.801262484650103,5.5141397017806755,2019-01-31 17:56:00,2019-02-02 09:56:00,2019-02-01 02:52:00,2019-02-03 15:00:00,7,"AATB,APTY,DRBS,JUNG1,KERG,LMKS,NEWK",3,"AATB,KERG,LMKS",6.092636572300003,3.4543404390815273,20.801262484650103,core,supported_multi_station_candidate,A,False,2019,-10.719999999999999,622.0875,16.140833333333333,9.02293142361111,True,-15.6,0.83,,627.0,15.7,False,True,True,True,True,-12.02,637.5,14.68,219.5,88.0,210.0
115,77,16.166666666666668,core,2019-10-26 05:00:00,58,0.57,,650.0,8.2,,2019-10-26 05:00:00,362,2019-10-26 21:10:00,2019-10-26 21:10:00,2019-10-26 21:10:00,2019-10-27 00:22:00,3.2,1,1,JUNG,3.878196786798365,3.878196786798365,5.742432183541513,2019-10-26 21:10:00,2019-10-26 21:10:00,2019-10-27 00:22:00,2019-10-27 00:22:00,2,"ATHN,JUNG",1,ATHN,4.827898176298762,4.827898176298762,5.777599565799158,core,supported_multi_station_candidate,B,True,2019,-3.7618333333333336,654.0666666666667,8.459333333333333,3.4267197916666667,True,-16.166666666666668,0.57,,650.0,8.2,False,False,True,False,True,-8.4,689.4,9.645,117.44999999999993,32.0,44.0
42,29,16.433333333333334,core,2019-05-01 13:00:00,42,0.65,,569.0,9.1,,2019-05-01 13:00:00,311,2019-05-02 05:26:00,2019-05-02 05:26:00,2019-05-01 19:00:00,2019-05-03 17:06:00,46.1,4,4,"FSMT,JUNG,JUNG1,KERG",3.465287516725486,3.8719189861226617,7.912232663169475,2019-05-01 19:00:00,2019-05-03 00:06:00,2019-05-01 20:52:00,2019-05-03 17:06:00,5,"AATB,FSMT,JUNG,JUNG1,KERG",1,AATB,3.1544803654878804,3.4622769853804733,3.8719189861226617,core,supported_multi_station_candidate,A,False,2019,-4.753166666666667,569.9369444444444,9.7065,6.389589409722222,True,-16.433333333333334,0.65,,569.0,9.1,False,False,True,False,True,-7.555,583.1,10.88,119.59999999999997,56.0,46.0
10,7,17.166666666666668,core,2019-01-29 00:00:00,36,0.32,,368.0,4.5,,2019-01-29 00:00:00,284,2019-01-29 17:10:00,2019-01-29 17:10:00,2019-01-29 15:32:00,2019-01-30 21:52:00,30.333333333333332,2,2,"DRBS,LMKS",5.044135288404846,7.851667444498639,5.530225320818165,2019-01-29 15:32:00,2019-01-29 18:48:00,2019-01-30 17:06:00,2019-01-30 21:52:00,2,"DRBS,LMKS",0,,5.044135288404846,5.044135288404846,7.851667444498639,core,supported_multi_station_candidate,B,False,2019,-4.444500000000001,421.1191666666667,14.662333333333333,8.534445312499999,True,-17.166666666666668,0.32,,368.0,4.5,False,False,True,False,True,-2.0,363.35,4.665,31.900000000000034,0.0,0.0
