datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran
2016-06-02 21:00:00,39,0.26,,346.0,4.3,,2016-06-02 21:00:00
2016-06-04 22:00:00,12,0.64,,339.0,11.1,,2016-06-04 22:00:00
2016-06-05 12:00:00,36,1.18,,625.0,17.3,,2016-06-05 12:00:00
2016-06-07 10:00:00,35,0.38,,498.0,6.7,,2016-06-07 10:00:00
2016-06-10 08:00:00,34,0.8,,543.0,12.3,,2016-06-10 08:00:00
2016-06-12 11:00:00,40,1.42,,562.0,10.9,,2016-06-12 11:00:00
2016-06-14 12:00:00,26,1.12,,678.0,14.2,,2016-06-14 12:00:00
2016-06-15 17:00:00,31,0.4,,599.0,10.6,,2016-06-15 17:00:00
2016-06-17 05:00:00,72,0.81,,627.0,6.5,,2016-06-17 05:00:00
2016-06-22 04:00:00,30,1.9,,423.0,13.1,,2016-06-22 04:00:00
2016-06-23 14:00:00,57,0.81,,528.0,9.0,,2016-06-23 14:00:00
2016-06-26 00:00:00,69,0.74,,508.0,8.6,,2016-06-26 00:00:00
2016-06-30 12:00:00,28,0.56,,404.0,8.1,,2016-06-30 12:00:00
2016-07-02 02:00:00,16,0.19,,385.0,4.8,,2016-07-02 02:00:00
2016-07-02 20:00:00,74,0.62,,466.0,12.2,,2016-07-02 20:00:00
2016-07-06 22:00:00,119,3.07,,638.0,13.2,,2016-07-06 22:00:00
2016-07-11 23:00:00,47,0.99,,637.0,8.6,,2016-07-11 23:00:00
2016-07-14 21:00:00,80,0.37,,679.0,6.9,,2016-07-14 21:00:00
2016-07-19 23:51:00,49,2.52,SSC,569.0,27.3,ICME-shock,2016-07-19 23:51:00
2016-07-22 15:00:00,39,0.56,,456.0,8.5,,2016-07-22 15:00:00
2016-07-24 15:25:00,36,0.9,SI,457.0,11.3,weak-impulse,2016-07-24 15:25:00
2016-07-28 01:00:00,16,0.19,,401.0,8.6,,2016-07-28 01:00:00
2016-07-28 19:00:00,61,0.37,,624.0,16.4,,2016-07-28 19:00:00
2016-08-02 07:00:00,22,1.74,,445.0,24.6,,2016-08-02 07:00:00
2016-08-03 08:00:00,36,0.42,,613.0,17.7,,2016-08-03 08:00:00
2016-08-05 04:00:00,61,1.02,,675.0,7.1,,2016-08-05 04:00:00
2016-08-08 21:00:00,113,1.09,,662.0,7.8,,2016-08-08 21:00:00
2016-08-15 15:00:00,25,0.45,,322.0,7.3,,2016-08-15 15:00:00
2016-08-16 19:00:00,35,1.28,,412.0,9.4,,2016-08-16 19:00:00
2016-08-18 13:00:00,27,0.68,,364.0,5.8,,2016-08-18 13:00:00
2016-08-19 19:00:00,29,0.71,,342.0,7.7,,2016-08-19 19:00:00
2016-08-21 04:00:00,30,0.56,,427.0,13.4,,2016-08-21 04:00:00
2016-08-22 22:00:00,18,0.28,,396.0,10.1,,2016-08-22 22:00:00
2016-08-23 19:00:00,63,1.41,,584.0,14.8,,2016-08-23 19:00:00
2016-08-28 12:00:00,28,0.19,,377.0,6.3,,2016-08-28 12:00:00
2016-08-29 20:00:00,44,1.19,,466.0,9.5,,2016-08-29 20:00:00
2016-09-01 03:00:00,129,1.84,,708.0,9.7,,2016-09-01 03:00:00
2016-09-08 00:00:00,29,0.66,,522.0,6.2,,2016-09-08 00:00:00
2016-09-09 15:00:00,35,0.32,,415.0,4.7,,2016-09-09 15:00:00
2016-09-11 12:00:00,58,0.38,,343.0,11.3,,2016-09-11 12:00:00
2016-09-14 01:00:00,35,0.58,,330.0,9.2,,2016-09-14 01:00:00
2016-09-15 20:00:00,27,1.08,,312.0,7.8,,2016-09-15 20:00:00
2016-09-17 03:00:00,35,1.49,,348.0,8.6,,2016-09-17 03:00:00
2016-09-18 21:00:00,16,0.46,,375.0,10.1,,2016-09-18 21:00:00
2016-09-19 15:00:00,36,0.85,,727.0,19.9,,2016-09-19 15:00:00
2016-09-21 13:00:00,36,0.4,,542.0,6.5,,2016-09-21 13:00:00
2016-09-23 03:00:00,45,0.4,,417.0,8.2,,2016-09-23 03:00:00
2016-09-25 04:00:00,48,0.95,,504.0,10.8,,2016-09-25 04:00:00
2016-09-27 17:00:00,116,1.34,,705.0,10.0,,2016-09-27 17:00:00
2016-10-04 10:00:00,50,0.47,,552.0,9.7,,2016-10-04 10:00:00
2016-10-10 12:00:00,46,0.63,,410.0,7.2,,2016-10-10 12:00:00
2016-10-12 22:12:00,35,1.27,SSC,439.0,24.1,ICME-shock,2016-10-12 22:12:00
2016-10-14 17:00:00,31,1.05,,544.0,13.7,,2016-10-14 17:00:00
2016-10-16 05:00:00,86,0.78,,735.0,9.2,,2016-10-16 05:00:00
2016-10-22 02:00:00,16,0.29,,350.0,6.0,,2016-10-22 02:00:00
2016-10-22 20:00:00,48,1.22,,443.0,8.7,,2016-10-22 20:00:00
2016-10-25 08:00:00,42,1.31,,735.0,15.8,,2016-10-25 08:00:00
2016-10-27 16:00:00,64,0.66,,662.0,9.7,,2016-10-27 16:00:00
2016-11-01 17:00:00,41,1.1,,509.0,7.9,,2016-11-01 17:00:00
2016-11-03 19:00:00,43,0.84,,408.0,7.6,,2016-11-03 19:00:00
2016-11-07 09:00:00,38,0.51,,324.0,6.1,,2016-11-07 09:00:00
