idx_izmiran,idx_catalog,dt_hours,subset,datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year,omni_Bz_min,omni_Speed_max,omni_IMF_max,omni_Density_mean,feid_matched,feid_dt_h,feid_magnitude,feid_ons_label,feid_Vmax,feid_Bmax,feid_has_shock,cond_A_bz,cond_B_speed,cond_C_imf,fd_like_confirmed,bz_min,speed_max,imf_max,dv_max,bz_consec_min,imf_consec_min
137,10,-0.23333333333333334,exploratory,2019-12-25 06:00:00,78,0.65,,408.0,8.3,,2019-12-25 06:00:00,379,2019-12-25 05:46:00,2019-12-25 05:46:00,2019-12-25 05:46:00,2019-12-26 02:48:00,21.033333333333335,1,1,LMKS,3.5951187446882384,3.5951187446882384,7.314797049990871,2019-12-25 05:46:00,2019-12-25 05:46:00,2019-12-26 02:48:00,2019-12-26 02:48:00,1,LMKS,0,,3.5951187446882384,3.5951187446882384,3.5951187446882384,exploratory,single_station_candidate,C,False,2019,-3.202833333333333,407.14500000000004,8.718666666666667,7.205822158517811,True,0.23333333333333334,0.65,,408.0,8.3,False,False,True,False,True,-4.15,352.3,5.74,48.05000000000001,18.0,0.0
32,4,-0.5666666666666667,exploratory,2019-03-31 03:00:00,41,0.49,,421.0,6.2,,2019-03-31 03:00:00,305,2019-03-31 02:26:00,2019-03-31 02:26:00,2019-03-31 02:26:00,2019-03-31 19:26:00,17.0,1,1,APTY,3.4743015199349205,3.4743015199349205,3.2488151544215764,2019-03-31 02:26:00,2019-03-31 02:26:00,2019-03-31 19:26:00,2019-03-31 19:26:00,1,APTY,0,,3.4743015199349205,3.4743015199349205,3.4743015199349205,exploratory,single_station_candidate,C,False,2019,-5.816166666666667,500.7966666666667,6.902,5.249807552783891,True,0.5666666666666667,0.49,,421.0,6.2,False,True,True,False,True,-6.734999999999999,406.0,7.375,34.75,70.0,0.0
120,9,4.3,exploratory,2019-11-04 07:00:00,59,0.55,,416.0,7.3,,2019-11-04 07:00:00,366,2019-11-04 11:18:00,2019-11-04 11:18:00,2019-11-04 11:18:00,2019-11-05 16:48:00,29.5,1,1,KIEL2,8.019040372479243,8.019040372479243,5.982257284053133,2019-11-04 11:18:00,2019-11-04 11:18:00,2019-11-05 16:48:00,2019-11-05 16:48:00,1,KIEL2,0,,8.019040372479243,8.019040372479243,8.019040372479243,exploratory,single_station_candidate,C,False,2019,-2.7148333333333334,421.85999999999996,7.4175,8.306881944444443,True,-4.3,0.55,,416.0,7.3,False,False,True,False,True,-4.33,362.0,8.085,44.39999999999998,34.0,4.0
13,1,12.233333333333333,exploratory,2019-02-04 00:00:00,33,0.28,,468.0,6.1,,2019-02-04 00:00:00,286,2019-02-04 12:14:00,2019-02-04 12:14:00,2019-02-04 12:14:00,2019-02-05 02:24:00,14.166666666666666,1,1,KERG,3.4618093041007523,3.4618093041007523,8.352603123216042,2019-02-04 12:14:00,2019-02-04 12:14:00,2019-02-05 02:24:00,2019-02-05 02:24:00,1,KERG,0,,3.4618093041007523,3.4618093041007523,3.4618093041007523,exploratory,single_station_candidate,C,False,2019,-5.0713333333333335,622.0875,7.933833333333333,3.9724947368421053,True,-12.233333333333333,0.28,,468.0,6.1,False,True,True,False,True,-5.1899999999999995,484.70000000000005,5.42,56.55000000000001,88.0,0.0
41,5,15.266666666666667,exploratory,2019-04-26 22:00:00,66,0.4,,390.0,6.0,,2019-04-26 22:00:00,310,2019-04-27 13:16:00,2019-04-27 13:16:00,2019-04-27 13:16:00,2019-04-28 17:18:00,28.033333333333335,1,1,LMKS,5.933574532700791,5.933574532700791,4.385862774811571,2019-04-27 13:16:00,2019-04-27 13:16:00,2019-04-28 17:18:00,2019-04-28 17:18:00,1,LMKS,0,,5.933574532700791,5.933574532700791,5.933574532700791,exploratory,single_station_candidate,C,False,2019,-3.011166666666667,408.795,5.963666666666667,6.8661548353909465,True,-15.266666666666667,0.4,,390.0,6.0,False,False,True,False,True,-4.205,389.7,6.045,31.599999999999966,32.0,0.0
