repr_time,n_stations,stations,drop_mean,drop_max,A_complex_mean,A_complex_max
2018-01-01 15:48:00,1,INVK,4.115379929258498,4.115379929258498,5.525708607583369,5.525708607583369
2018-01-02 19:30:00,2,"JUNG1,NEWK",4.457538192189562,4.92580463644382,6.1617803999921295,8.011325891761555
2018-01-03 20:24:00,1,LMKS,2.6142544346997103,2.6142544346997103,4.737727703203258,4.737727703203258
2018-01-04 21:30:00,2,"AATB,JUNG1",2.1496048251051993,2.2563198984043895,3.8369837891681957,3.943057768902354
2018-01-05 17:49:00,2,"LMKS,NEWK",4.978914437668559,6.494157181201512,5.273754640845549,5.966885899022377
2018-01-06 22:58:00,3,"APTY,JUNG1,MXCO",3.7223612883863417,6.148010554822581,5.063702216403875,5.727243777002179
2018-01-09 00:20:00,3,"JUNG1,KERG,LMKS",3.6783050268565503,4.428045861146604,4.377757573697818,5.227846483746552
2018-01-10 00:35:00,3,"JUNG1,LMKS,MXCO",5.16513975613346,13.056327681893205,4.904259841548127,6.310480841552357
2018-01-10 12:48:00,1,INVK,3.3463717219598754,3.3463717219598754,4.805971420685013,4.805971420685013
2018-01-12 08:19:00,1,APTY,3.466654646001688,3.721410823593566,5.932714141697548,6.366117366890058
2018-01-13 23:48:00,1,OULU,4.431943469468959,4.431943469468959,4.20632396756045,4.20632396756045
2018-01-15 04:00:00,4,"APTY,KERG,MXCO,OULU",3.9180349085913604,4.463245892110467,5.105911392959594,5.899277322296419
2018-01-15 23:00:00,1,NEWK,4.6209001460271475,4.671825164976512,4.650916156598631,5.376018293239629
2018-01-16 15:50:00,3,"AATB,INVK,KERG",2.804033729498995,3.798493115863772,4.274258212834226,5.301008109452187
2018-01-17 05:14:00,1,DOMC,5.640813564475064,5.640813564475064,2.94374099950694,2.94374099950694
2018-01-18 01:29:00,2,"JUNG1,LMKS",3.7214147905183292,4.645997069144658,4.2393925951740705,4.562016875928498
2018-01-19 14:42:00,2,"DOMC,INVK",5.644368983666756,7.542663175158589,4.060204499707631,5.5904145959144875
2018-01-20 05:02:00,1,NEWK,3.554979386252752,3.554979386252752,4.768777025377037,4.768777025377037
2018-01-21 01:18:00,2,"APTY,OULU",4.036264271783255,4.776538403438863,4.004881030011742,4.224528410085243
2018-01-22 02:31:00,2,"AATB,LMKS",3.1536472173915415,4.226195697763231,5.16791930399957,5.414970754321583
2018-01-24 02:02:00,1,APTY,3.1033319235048746,3.1033319235048746,5.510447313542782,5.510447313542782
2018-01-25 03:10:00,1,DOMC,7.552816516965518,7.552816516965518,3.616625961105257,3.616625961105257
2018-01-26 19:48:00,1,LMKS,2.3970039357614064,2.3970039357614064,4.883397914299948,4.883397914299948
2018-01-27 12:42:00,1,INVK,2.9065074779731748,2.9065074779731748,4.680341563718543,4.680341563718543
2018-01-28 04:16:00,2,"DOMC,NEWK",6.1893216401540805,7.3334696800593395,3.9550403474439997,5.192240526603997
2018-01-30 02:11:00,3,"INVK,JUNG1,MXCO",3.070727560809694,3.489185498007991,5.131092731278294,5.796627442944905
2018-01-31 03:08:00,2,"MXCO,NEWK",4.0401346858504645,4.711230178231222,4.194507778762356,4.730835314531708
2018-02-01 03:58:00,1,DOMC,8.07087070772972,8.07087070772972,3.9554845277970894,3.9554845277970894
2018-02-02 07:20:00,3,"AATB,APTY,OULU",2.7593275793153924,4.188537040215746,4.504881177658094,5.1216565895373165
2018-02-03 04:11:00,2,"INVK,MXCO",3.3149044422860348,3.598113648779304,4.468116130613736,4.837715219991813
2018-02-04 21:19:00,3,"LMKS,MXCO,OULU",4.851907489115707,6.348794966241198,5.6313634614701815,6.48056306827328
2018-02-05 18:48:00,2,"AATB,MXCO",2.913092321723652,3.0559451250206155,5.006786645990168,6.427255926084908
2018-02-07 01:20:00,3,"APTY,LMKS,OULU",3.112117648568023,4.626700032802234,4.827345154980591,6.08016571813123
2018-02-08 05:46:00,1,NEWK,4.49830837869956,4.49830837869956,4.915310890006759,4.915310890006759
2018-02-09 09:28:00,2,"INVK,JUNG1",3.1599953660645763,3.425367275217543,4.838363293577963,5.679828934741144
2018-02-10 22:08:00,1,KERG,3.2673874738327893,3.2673874738327893,3.6632426748736147,3.6632426748736147
2018-02-11 10:30:00,1,NEWK,4.358770403544418,4.358770403544418,3.9590219379829708,3.9590219379829708
2018-02-15 04:34:00,1,MXCO,3.60056765388132,3.60056765388132,4.599915672301784,4.599915672301784
2018-02-16 23:34:00,3,"DOMC,LMKS,MXCO",5.998144459720112,10.635002312659207,3.9942297784300647,4.6727516134361196
2018-02-18 00:28:00,1,KERG,3.8294077484057762,3.8294077484057762,3.6463080022139573,3.6463080022139573
2018-02-19 09:12:00,2,"INVK,OULU",4.224222176878041,4.503463163032746,4.874206715463371,6.492770904723811
2018-02-20 02:52:00,3,"AATB,APTY,LMKS",2.8567803663683646,3.840778792891358,4.112025261151503,4.683754241162308
2018-02-20 19:18:00,2,"APTY,INVK",2.9439976541484127,3.2093577383883205,4.91435234862099,5.590377925506613
2018-02-21 17:56:00,2,"LMKS,NEWK",3.7211714061755288,4.743267304647323,4.232731390058304,4.461888975544645
2018-02-23 20:57:00,2,"NEWK,OULU",4.876901648142217,4.976537726891388,5.502534861090529,5.549039649269271
2018-02-24 19:44:00,2,"APTY,LMKS",2.7516597156115297,3.7875940333981886,4.795611167186215,5.622632658429926
2018-02-25 20:13:00,4,"APTY,INVK,NEWK,OULU",4.004529352070946,4.790678372553999,4.567691413964955,5.138913056024367
