repr_time,n_stations,stations,drop_mean,drop_max,A_complex_mean,A_complex_max,quality,matched_izmiran
2019-01-02 02:20:00,2,"DOMC,NEWK",5.433584480718128,6.278327007069684,4.571568062700073,7.1328270532532105,B,False
2019-01-03 12:34:00,3,"APTY,INVK,NEWK",3.1394646189437907,4.432142614522852,4.2222897126429455,4.563574675947832,A,True
2019-01-05 02:40:00,2,"DOMC,JUNG1",5.214218297598573,7.47730919558904,4.599106708254975,5.685915584461037,B,True
2019-01-05 23:20:00,2,"JUNG1,MXCO",3.102611720825152,3.2239632431372387,8.07369304582396,11.275950708907407,B,False
2019-01-06 23:21:00,3,"AATB,KERG,NEWK",3.2145706597983694,4.9294251232936235,5.9670894081444965,9.48448241597202,A,False
2019-01-08 05:44:00,2,"DOMC,NEWK",6.9198603260998865,8.088218194400952,3.9071599851315972,5.366767093229183,B,False
2019-01-08 22:34:00,1,INVK,3.3357353225133064,3.3590943904290103,4.16980316947371,4.811055811914037,C,False
2019-01-09 15:36:00,2,"APTY,MXCO",3.345866743687318,3.686812613578756,4.793187961724733,4.837933445467422,B,True
2019-01-11 01:54:00,2,"DOMC,NEWK",6.435329293398081,7.915673854743469,4.1468565945162785,4.411526960786449,B,True
2019-01-11 23:48:00,3,"AATB,DOMC,JUNG1",4.147021092037135,6.576677192217366,3.74686385646549,4.048142128560614,A,False
2019-01-13 00:24:00,2,"APTY,NEWK",3.3090983380951484,4.03717971250743,4.87052736370714,5.878796819947017,B,True
2019-01-14 11:10:00,3,"DOMC,INVK,LMKS",5.763515570611272,8.404169833360731,4.030222158813983,5.423454654262689,A,True
2019-01-16 01:54:00,4,"APTY,LMKS,MXCO,OULU",3.6843005078935844,4.330053111442453,3.7870573988153344,4.081940436634513,A,True
2019-01-17 20:56:00,3,"APTY,KERG,OULU",3.5828546738641833,3.9307363505446817,3.7538744080688535,4.192542141462401,A,False
2019-01-18 09:56:00,1,NEWK,4.27031137407684,4.27031137407684,4.070678877180693,4.070678877180693,C,False
2019-01-19 01:06:00,1,APTY,3.2344816456353493,3.2344816456353493,5.648267895227683,5.648267895227683,C,False
2019-01-20 08:12:00,2,"JUNG1,OULU",3.602666932199819,5.122141839681169,4.133299965013414,4.429820420144909,B,True
2019-01-22 09:54:00,6,"DOMC,JUNG1,KERG,LMKS,MXCO,NEWK",3.953979997846643,5.9764526276407866,4.608677977470519,8.842402633887895,A,True
2019-01-24 12:21:00,3,"DOMC,INVK,MXCO",5.329734139147098,7.735122877239993,4.00213894403742,4.5458151088317225,A,False
2019-01-25 04:33:00,2,"KERG,NEWK",3.984629948212427,4.219363824938051,5.649067602534743,6.10612824122138,B,False
2019-01-26 05:38:00,3,"APTY,DOMC,NEWK",4.973940394655801,7.46612251788712,4.756067926418267,7.317691742906488,A,False
2019-01-26 23:40:00,3,"AATB,KERG,OULU",3.3993927038378438,4.276021380645644,4.489562893845966,4.800232978461173,A,False
2019-01-28 01:16:00,3,"DOMC,JUNG1,LMKS",3.71119784058652,6.935162824483631,4.038565086261998,4.726909444380568,A,False
2019-01-29 22:36:00,1,AATB,2.422170830254327,2.4788475910201124,4.816158853272334,5.219530985516054,C,False
2019-01-31 00:37:00,2,"AATB,JUNG1",2.2531641716681943,2.429490570638206,3.745301603940119,4.001255980966881,B,True
2019-02-01 01:50:00,3,"JUNG1,NEWK,OULU",4.109419521169067,4.65248810565391,4.021785859920865,4.339169068655215,A,True
2019-02-03 01:20:00,1,OULU,4.999932481308832,5.127292103022672,3.8886796665780725,3.958937580747904,C,True
2019-02-03 15:00:00,1,JUNG1,3.0778602682023273,3.1183771516701992,4.166166308870261,4.771795769538365,C,True
2019-02-04 07:54:00,2,"APTY,INVK",7.68659576103766,8.922888698340119,4.946573839768666,7.6993096495854845,B,True
2019-02-05 17:02:00,1,LMKS,2.0395904921927945,2.0395904921927945,4.057634594767884,4.057634594767884,C,True
2019-02-06 10:32:00,1,KERG,4.697978396657769,4.697978396657769,4.421251391643313,4.421251391643313,C,True
2019-02-07 00:08:00,1,OULU,4.823839683707468,4.823839683707468,4.171554761474504,4.171554761474504,C,False
2019-02-08 15:20:00,2,"AATB,KERG",3.0033534904097787,4.058436351932853,5.002745784940522,5.41728911919781,B,True
2019-02-10 09:42:00,3,"AATB,APTY,OULU",3.2129119215132507,4.034803023936789,4.546329737792403,5.898788877188946,A,True
2019-02-11 02:40:00,1,APTY,3.359455076119793,3.359455076119793,4.285897409662995,4.285897409662995,C,True
2019-02-11 22:56:00,1,KERG,3.1396882840408007,3.1396882840408007,3.2912082463862564,3.2912082463862564,C,True
2019-02-13 01:16:00,1,MXCO,3.6673611051677013,3.6673611051677013,4.933898159924983,4.933898159924983,C,True
2019-02-14 13:24:00,1,APTY,4.534835867322086,4.534835867322086,4.781090300665278,4.781090300665278,C,False
2019-02-16 09:52:00,6,"AATB,DOMC,INVK,JUNG1,LMKS,MXCO",3.5627671319364707,9.545754645111112,4.648062877489302,5.0616885324098995,A,False
2019-02-17 04:20:00,1,NEWK,3.890330605773269,3.890330605773269,4.695733679151621,4.695733679151621,C,True
2019-02-18 20:39:00,2,"APTY,OULU",3.0508739302113446,3.80116947067888,4.587553831829923,5.375717954745104,B,True
2019-02-19 19:00:00,3,"AATB,KERG,MXCO",2.810242401969816,3.1169496080205823,4.469372440704484,4.995178843619284,A,True
2019-02-20 19:14:00,1,OULU,3.4213497409746,3.4213497409746,5.106115449765453,5.106115449765453,C,True
