idx_izmiran,idx_catalog,dt_hours,subset,Date of event,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
55,46,3.933333333333333,all,2019.06.27 12:00:00,0.4,0.86,0.79,28,-0.18,9,5.9,-2.8,371.0,-7.0,2019-06-27 12:00:00+00:00,132,2019-06-27 15:56:00+00:00,2019-06-26 08:12:00+00:00,2019-06-26 08:12:00+00:00,2019-06-27 15:56:00+00:00,31.733333333333334,1,1,JUNG1,3.7776590802264534,3.7776590802264534,6.854857611739445,2019-06-26 08:12:00+00:00,2019-06-26 08:12:00+00:00,2019-06-27 15:56:00+00:00,2019-06-27 15:56:00+00:00,2,"JUNG1,LMKS",1,LMKS,3.0984495569205053,3.0984495569205053,3.7776590802264534,core,supported_multi_station_candidate,B,True,2019
61,49,4.0,all,2019.07.12 22:00:00,0.7,0.71,0.4,14,-0.17,9,6.6,-3.6,461.0,-21.0,2019-07-12 22:00:00+00:00,135,2019-07-13 02:00:00+00:00,2019-07-12 06:54:00+00:00,2019-07-12 06:54:00+00:00,2019-07-13 02:00:00+00:00,19.1,1,1,JUNG1,4.525278130797939,4.525278130797939,7.618220595575661,2019-07-12 06:54:00+00:00,2019-07-12 06:54:00+00:00,2019-07-13 02:00:00+00:00,2019-07-13 02:00:00+00:00,1,JUNG1,0,,4.525278130797939,4.525278130797939,4.525278130797939,exploratory,single_station_candidate,C,False,2019
109,78,-4.95,all,2019.11.13 02:00:00,0.5,1.0,0.72,9,-0.25,9,8.3,-2.5,351.0,-8.0,2019-11-13 02:00:00+00:00,164,2019-11-12 21:03:00+00:00,2019-11-12 03:51:00+00:00,2019-11-12 00:10:00+00:00,2019-11-12 22:40:00+00:00,22.5,2,2,"AATB,LMKS",4.047289222933781,4.336931402303852,6.137153093728912,2019-11-12 00:10:00+00:00,2019-11-12 07:32:00+00:00,2019-11-12 19:26:00+00:00,2019-11-12 22:40:00+00:00,4,"AATB,APTY,KERG,LMKS",2,"APTY,KERG",3.762328953115117,3.9235740468192266,4.336931402303852,core,supported_multi_station_candidate,A,False,2019
86,65,5.516666666666667,all,2019.09.17 18:00:00,0.4,0.63,0.74,2,-0.17,9,6.2,-3.4,446.0,-12.0,2019-09-17 18:00:00+00:00,151,2019-09-17 23:31:00+00:00,2019-09-17 12:36:00+00:00,2019-09-17 06:10:00+00:00,2019-09-17 23:32:00+00:00,17.366666666666667,2,2,"AATB,KERG",4.311424455526723,4.962177810552886,7.437546353125294,2019-09-17 06:10:00+00:00,2019-09-17 19:02:00+00:00,2019-09-17 23:30:00+00:00,2019-09-17 23:32:00+00:00,2,"AATB,KERG",0,,4.311424455526723,4.311424455526723,4.962177810552886,core,supported_multi_station_candidate,B,False,2019
95,71,5.9,all,2019.10.09 20:00:00,0.8,0.98,0.79,6,-0.19,9,11.4,-3.2,516.0,-28.0,2019-10-09 20:00:00+00:00,157,2019-10-10 01:54:00+00:00,2019-10-09 12:23:00+00:00,2019-10-09 08:18:00+00:00,2019-10-10 11:06:00+00:00,26.8,2,2,"APTY,JUNG1",3.405052633935482,3.510088334671975,7.209756480506336,2019-10-09 08:18:00+00:00,2019-10-09 16:28:00+00:00,2019-10-09 16:42:00+00:00,2019-10-10 11:06:00+00:00,3,"APTY,JUNG1,KERG",1,KERG,3.4469694349844544,3.510088334671975,3.5308030370823977,core,supported_multi_station_candidate,B,False,2019
119,86,6.15,all,2019.12.14 12:00:00,0.8,0.7,0.33,56,-0.47,9,7.9,-3.3,413.0,-1.0,2019-12-14 12:00:00+00:00,172,2019-12-14 18:09:00+00:00,2019-12-13 10:34:00+00:00,2019-12-13 05:56:00+00:00,2019-12-15 17:58:00+00:00,60.03333333333333,4,4,"AATB,APTY,JUNG1,LMKS",3.526922504404732,5.086586679686548,8.636763724106581,2019-12-13 05:56:00+00:00,2019-12-14 18:22:00+00:00,2019-12-14 00:44:00+00:00,2019-12-15 17:58:00+00:00,4,"AATB,APTY,JUNG1,LMKS",0,,3.526922504404732,3.336124789849421,5.086586679686548,core,supported_multi_station_candidate,A,False,2019
76,59,-6.333333333333333,all,2019.08.20 02:00:00,0.7,1.04,0.63,8,-0.27,9,9.7,-3.2,404.0,-9.0,2019-08-20 02:00:00+00:00,145,2019-08-19 19:40:00+00:00,2019-08-19 18:16:00+00:00,2019-08-19 18:16:00+00:00,2019-08-19 19:40:00+00:00,1.4,1,1,INVK,3.4030384697864555,3.4030384697864555,7.43476414278972,2019-08-19 18:16:00+00:00,2019-08-19 18:16:00+00:00,2019-08-19 19:40:00+00:00,2019-08-19 19:40:00+00:00,4,"INVK,JUNG1,KERG,LMKS",3,"JUNG1,KERG,LMKS",3.37255115489236,3.3129901649866236,4.225821498649095,core,supported_multi_station_candidate,A,True,2019
16,17,6.966666666666667,all,2019.02.27 08:00:00,1.1,0.82,1.1,49,-0.4,9,11.6,-5.1,595.0,,2019-02-27 08:00:00+00:00,103,2019-02-27 14:58:00+00:00,2019-02-26 07:24:00+00:00,2019-02-26 07:24:00+00:00,2019-02-27 14:58:00+00:00,31.566666666666666,1,1,AATB,2.3605593934740976,2.3605593934740976,10.412524158880101,2019-02-26 07:24:00+00:00,2019-02-26 07:24:00+00:00,2019-02-27 14:58:00+00:00,2019-02-27 14:58:00+00:00,3,"AATB,KERG,LMKS",2,"KERG,LMKS",2.9497173844681104,2.5747366324994942,3.9138561274307393,core,supported_multi_station_candidate,B,True,2019
100,76,7.75,all,2019.10.24 08:00:00,1.0,0.8,0.96,68,-0.3,9,11.7,-9.1,650.0,-46.0,2019-10-24 08:00:00+00:00,162,2019-10-24 15:45:00+00:00,2019-10-24 03:51:00+00:00,2019-10-23 20:58:00+00:00,2019-10-24 22:14:00+00:00,25.266666666666666,2,2,"AATB,APTY",5.1844630967017045,6.248986892835262,10.151343328546865,2019-10-23 20:58:00+00:00,2019-10-24 10:44:00+00:00,2019-10-24 09:16:00+00:00,2019-10-24 22:14:00+00:00,4,"AATB,APTY,INVK,KERG",2,"INVK,KERG",4.152478058970038,3.778156798808167,6.248986892835262,core,supported_multi_station_candidate,A,False,2019
58,47,7.8,all,2019.07.04 18:00:00,0.4,0.7,1.05,11,-0.14,9,7.1,-2.2,441.0,-6.0,2019-07-04 18:00:00+00:00,133,2019-07-05 01:48:00+00:00,2019-07-04 15:20:00+00:00,2019-07-04 15:20:00+00:00,2019-07-05 01:48:00+00:00,10.466666666666667,1,1,LMKS,2.8765234829758106,2.8765234829758106,6.449177976439023,2019-07-04 15:20:00+00:00,2019-07-04 15:20:00+00:00,2019-07-05 01:48:00+00:00,2019-07-05 01:48:00+00:00,3,"APTY,KERG,LMKS",2,"APTY,KERG",3.2378196295023596,3.0149762765405597,3.8219591289907076,core,supported_multi_station_candidate,B,True,2019
