idx_izmiran,idx_catalog,dt_hours,subset,Date of event,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
61,7,4.0,exploratory,2019.07.12 22:00:00,0.7,0.71,0.4,14,-0.17,9,6.6,-3.6,461.0,-21.0,2019-07-12 22:00:00+00:00,135,2019-07-13 02:00:00+00:00,2019-07-12 06:54:00+00:00,2019-07-12 06:54:00+00:00,2019-07-13 02:00:00+00:00,19.1,1,1,JUNG1,4.525278130797939,4.525278130797939,7.618220595575661,2019-07-12 06:54:00+00:00,2019-07-12 06:54:00+00:00,2019-07-13 02:00:00+00:00,2019-07-13 02:00:00+00:00,1,JUNG1,0,,4.525278130797939,4.525278130797939,4.525278130797939,exploratory,single_station_candidate,C,False,2019
59,6,15.233333333333333,exploratory,2019.07.06 11:00:00,0.5,0.51,1.04,13,-0.26,9,5.0,-3.9,360.0,-13.0,2019-07-06 11:00:00+00:00,134,2019-07-07 02:14:00+00:00,2019-07-05 19:12:00+00:00,2019-07-05 19:12:00+00:00,2019-07-07 02:14:00+00:00,31.033333333333335,1,1,JUNG1,3.113110601822671,3.113110601822671,8.292905634934456,2019-07-05 19:12:00+00:00,2019-07-05 19:12:00+00:00,2019-07-07 02:14:00+00:00,2019-07-07 02:14:00+00:00,1,JUNG1,0,,3.113110601822671,3.113110601822671,3.113110601822671,exploratory,single_station_candidate,C,False,2019
10,0,-15.6,exploratory,2019.02.05 18:00:00,0.6,0.58,0.44,59,-0.23,9,7.9,-5.4,446.0,,2019-02-05 18:00:00+00:00,97,2019-02-05 02:24:00+00:00,2019-02-04 12:08:00+00:00,2019-02-04 12:08:00+00:00,2019-02-05 02:24:00+00:00,14.266666666666667,1,1,KERG,3.4369486714000663,3.4369486714000663,8.355639012995804,2019-02-04 12:08:00+00:00,2019-02-04 12:08:00+00:00,2019-02-05 02:24:00+00:00,2019-02-05 02:24:00+00:00,1,KERG,0,,3.4369486714000663,3.4369486714000663,3.4369486714000663,exploratory,single_station_candidate,C,False,2019
89,11,-16.333333333333332,exploratory,2019.09.26 16:00:00,0.5,0.92,0.47,16,-0.31,9,3.9,-1.7,386.0,-4.0,2019-09-26 16:00:00+00:00,153,2019-09-25 23:40:00+00:00,2019-09-24 18:10:00+00:00,2019-09-24 18:10:00+00:00,2019-09-25 23:40:00+00:00,29.5,1,1,KERG,3.24649074555779,3.24649074555779,10.933826498335186,2019-09-24 18:10:00+00:00,2019-09-24 18:10:00+00:00,2019-09-25 23:40:00+00:00,2019-09-25 23:40:00+00:00,1,KERG,0,,3.24649074555779,3.24649074555779,3.24649074555779,exploratory,single_station_candidate,C,False,2019
25,2,16.433333333333334,exploratory,2019.03.31 03:00:00,0.7,1.2,0.65,19,-0.35,9,7.2,-4.8,421.0,-28.0,2019-03-31 03:00:00+00:00,112,2019-03-31 19:26:00+00:00,2019-03-31 02:26:00+00:00,2019-03-31 02:26:00+00:00,2019-03-31 19:26:00+00:00,17.0,1,1,APTY,3.4743015199349205,3.4743015199349205,3.243163095574415,2019-03-31 02:26:00+00:00,2019-03-31 02:26:00+00:00,2019-03-31 19:26:00+00:00,2019-03-31 19:26:00+00:00,1,APTY,0,,3.4743015199349205,3.4743015199349205,3.4743015199349205,exploratory,single_station_candidate,C,False,2019
