station,onset_time,min_time,rec_time,drop_percent,A_complex_max,bg_level_pre,level
MXCO,2022-12-29 02:16:00,2022-12-30 12:36:00,2022-12-30 12:38:00,4.040893461019553,5.268005505578993,-0.3886091118792455,strict
MXCO,2023-01-21 09:04:00,2023-01-22 02:16:00,2023-01-22 02:18:00,3.848187386316389,4.274562970754732,-0.07718688470035848,strict
MXCO,2023-01-27 17:48:00,2023-01-29 01:16:00,2023-01-29 01:20:00,2.5047261997312784,5.54124086032266,-0.10268908483487335,strict
MXCO,2023-03-21 22:04:00,2023-03-23 19:34:00,2023-03-23 19:36:00,3.7415591221224065,4.9019278485496285,-0.13432360448853026,strict
MXCO,2023-04-26 03:58:00,2023-04-26 19:30:00,2023-04-26 19:32:00,3.155066651799723,6.600241257508341,-0.216622962033973,strict
MXCO,2023-04-26 09:24:00,2023-04-26 19:30:00,2023-04-26 19:32:00,3.3035958729737946,5.5753736071270215,-0.06809374085990097,strict
MXCO,2023-05-30 05:10:00,2023-05-30 09:20:00,2023-05-30 09:22:00,3.6132365186831352,5.512620530566062,0.08536312849162123,strict
MXCO,2023-12-01 00:10:00,2023-12-02 06:36:00,2023-12-02 06:38:00,4.755027736149003,5.7333688554683055,0.1537807907934712,strict
MXCO,2023-12-21 16:40:00,2023-12-23 05:16:00,2023-12-23 05:18:00,3.422064478524625,4.916003859013548,0.11302757689090583,strict
MXCO,2024-01-05 07:26:00,2024-01-07 03:36:00,2024-01-07 03:38:00,2.8150848574191665,5.5629168717123525,-0.2772418786459551,strict
MXCO,2024-02-12 09:30:00,2024-02-13 07:30:00,2024-02-13 07:32:00,3.842100423293759,4.72406629405712,-0.12980839549509646,strict
MXCO,2024-02-14 21:44:00,2024-02-15 01:22:00,2024-02-15 01:28:00,4.236596132385688,4.796094246448308,0.35811362723879187,strict
MXCO,2024-04-13 22:24:00,2024-04-14 13:38:00,2024-04-14 13:40:00,3.1380416937093063,6.887878573608792,0.1680093831655546,strict
MXCO,2024-04-21 22:48:00,2024-04-22 21:24:00,2024-04-22 21:26:00,3.3885768990456886,5.8374700702936835,0.13365373612541553,strict
