group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year,omni_Bz_min,omni_Speed_max,omni_IMF_max,omni_Density_mean,feid_matched,feid_dt_h,feid_magnitude,feid_ons_label,feid_Vmax,feid_Bmax,feid_has_shock,cond_A_bz,cond_B_speed,cond_C_imf,fd_like_confirmed,bz_min,speed_max,imf_max,dv_max,bz_consec_min,imf_consec_min,match_time,month,feid_idx,feid_ons,feid_mag_36h,feid_vmax_36h,feid_bmax_36h,feid_matched_36h,driver,group_span_h_tc,n_trigger_stations_tc,trigger_A_complex_mean_tc,trigger_drop_max_tc,trigger_drop_mean_tc,duration_h,A_complex_mean,drop_max,n_trig_stations,n_sup_stations,delta_t_h
1,2016-02-01 16:16:00,2016-02-01 16:16:00,2016-01-31 08:30:00,2016-02-05 06:40:00,118.16666666666669,10,10,"APTY,BKSN,CALM,FSMT,JUNG,JUNG1,KIEL2,LMKS,NANM,OULU",5.340812425259316,8.02272977656268,6.703912305598697,2016-01-31 08:30:00,2016-02-04 17:30:00,2016-01-31 10:56:00,2016-02-05 06:40:00,15,"AATB,APTY,ATHN,BKSN,CALM,DRBS,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NANM,NEWK,OULU",5,"AATB,ATHN,DRBS,MXCO,NEWK",5.134847151082498,4.97733568667701,8.02272977656268,core,supported_multi_station_candidate,A,False,2016,-8.904166666666667,386.63375,10.327833333333333,17.75142505787037,True,11.733333333333333,0.6,,371.0,10.1,False,True,True,True,True,-7.380000000000001,329.6,10.36,40.55000000000001,208.0,432.0,2016-02-01 16:16:00,2,12,,0.6,371.0,10.1,True,unclassified,118.16666666666669,10,6.703912305598697,8.02272977656268,5.340812425259316,118.16666666666669,6.703912305598697,8.02272977656268,10,15,11.733333333333333
2,2016-02-09 06:18:00,2016-02-09 06:18:00,2016-02-08 11:12:00,2016-02-10 18:18:00,55.1,5,5,"AATB,KIEL2,LMKS,MXCO,NANM",5.032171662489185,9.997224849785455,6.380393317747616,2016-02-08 11:12:00,2016-02-10 04:28:00,2016-02-09 16:20:00,2016-02-10 18:18:00,9,"AATB,ATHN,JUNG1,KIEL2,LMKS,MXCO,NANM,NEWK,OULU",4,"ATHN,JUNG1,NEWK,OULU",4.841966259550647,4.190390812863829,9.997224849785455,core,supported_multi_station_candidate,A,False,2016,-7.474444444444444,451.45722222222224,14.288888888888888,7.037525089605735,True,5.3,0.78,,422.0,14.4,False,False,True,True,True,-10.195,501.0,14.865,124.10000000000002,52.0,354.0,2016-02-09 06:18:00,2,17,,0.78,422.0,14.4,True,unclassified,55.1,5,6.380393317747616,9.997224849785455,5.032171662489185,55.1,6.380393317747616,9.997224849785455,5,9,5.3
3,2016-02-11 22:46:00,2016-02-11 22:46:00,2016-02-11 10:16:00,2016-02-13 15:32:00,53.266666666666666,4,4,"BKSN,JUNG,LMKS,MXCO",4.765818362013778,5.664896087194766,4.452279005064539,2016-02-11 10:16:00,2016-02-12 07:10:00,2016-02-12 21:40:00,2016-02-13 15:32:00,12,"AATB,APTY,BKSN,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NANM,NEWK,OULU",8,"AATB,APTY,FSMT,JUNG1,KIEL2,NANM,NEWK,OULU",4.774152527449358,4.713108529497648,5.664896087194766,core,supported_multi_station_candidate,A,False,2016,-7.139916666666666,423.8441666666667,17.887666666666668,10.515914912280705,True,6.766666666666667,0.59,,362.0,15.1,False,True,True,True,True,-9.01,370.6,15.12,40.80000000000001,132.0,528.0,2016-02-11 22:46:00,2,18,,0.59,362.0,15.1,True,unclassified,53.266666666666666,4,4.452279005064539,5.664896087194766,4.765818362013778,53.266666666666666,4.452279005064539,5.664896087194766,4,12,6.766666666666667
4,2016-02-14 16:18:00,2016-02-14 16:18:00,2016-02-14 16:18:00,2016-02-15 23:40:00,31.366666666666667,1,1,NEWK,4.03199201736393,4.03199201736393,3.0939555404494663,2016-02-14 16:18:00,2016-02-14 16:18:00,2016-02-15 23:40:00,2016-02-15 23:40:00,1,NEWK,0,,4.03199201736393,4.03199201736393,4.03199201736393,exploratory,single_station_candidate,C,False,2016,-7.039,585.9716666666667,17.887666666666668,12.148951635145783,True,0.3,0.6,,407.0,7.3,False,True,True,False,True,-5.645,433.9,7.39,69.34999999999997,62.0,0.0,2016-02-14 16:18:00,2,21,,0.6,407.0,7.3,True,unclassified,31.366666666666667,1,3.0939555404494663,4.03199201736393,4.03199201736393,31.366666666666667,3.0939555404494663,4.03199201736393,1,1,0.3
5,2016-02-17 14:20:00,2016-02-17 14:20:00,2016-02-17 08:48:00,2016-02-20 02:24:00,65.6,3,3,"AATB,JUNG,OULU",4.1071332433894865,5.329482408234754,4.674599673093197,2016-02-17 08:48:00,2016-02-18 16:40:00,2016-02-17 21:26:00,2016-02-20 02:24:00,7,"AATB,BKSN,JUNG,JUNG1,LMKS,MXCO,OULU",4,"BKSN,JUNG1,LMKS,MXCO",3.738355919730942,3.1680531369522726,5.329482408234754,core,supported_multi_station_candidate,A,False,2016,-6.938999999999999,654.1383333333334,14.888666666666667,6.999583235867446,False,28.683333333333334,,,,,False,False,True,False,True,-7.78,636.5,9.485,105.25,30.0,44.0,2016-02-17 14:20:00,2,23,SI,0.94,649.0,15.0,True,SI,65.6,3,4.674599673093197,5.329482408234754,4.1071332433894865,65.6,4.674599673093197,5.329482408234754,3,7,28.683333333333334
6,2016-02-26 01:54:00,2016-02-26 01:54:00,2016-02-24 22:24:00,2016-02-28 04:50:00,78.43333333333334,5,5,"JUNG,JUNG1,KIEL2,LMKS,NEWK",4.500436113135726,5.770400611578891,5.735830972072426,2016-02-24 22:24:00,2016-02-27 11:20:00,2016-02-26 02:30:00,2016-02-28 04:50:00,13,"AATB,APTY,ATHN,BKSN,FSMT,JUNG,JUNG1,KIEL2,LMKS,MXCO,NANM,NEWK,OULU",8,"AATB,APTY,ATHN,BKSN,FSMT,MXCO,NANM,OULU",4.617236113333842,4.5487103599097285,5.891581505598266,core,supported_multi_station_candidate,A,False,2016,-5.947500000000001,425.6433333333333,11.57,9.2078140625,True,8.9,0.74,,431.0,11.6,False,True,True,True,True,-9.57,381.6,12.845,73.55000000000001,96.0,688.0,2016-02-26 01:54:00,2,26,,0.74,431.0,11.6,True,unclassified,78.43333333333334,5,5.735830972072426,5.770400611578891,4.500436113135726,78.43333333333334,5.735830972072426,5.770400611578891,5,13,8.9
7,2016-03-02 02:32:00,2016-03-02 02:32:00,2016-03-02 02:32:00,2016-03-02 03:00:00,0.4666666666666667,1,1,DRBS,10.955647441600403,10.955647441600403,4.506714940479592,2016-03-02 02:32:00,2016-03-02 02:32:00,2016-03-02 03:00:00,2016-03-02 03:00:00,2,"AATB,DRBS",1,AATB,6.391658056486891,6.391658056486891,10.955647441600403,core,supported_multi_station_candidate,B,True,2016,-6.018666666666666,462.3666666666667,12.0625,8.418995567375886,False,22.533333333333335,,,,,False,False,True,True,True,-7.07,426.9,11.32,85.59999999999997,48.0,908.0,2016-03-02 02:32:00,3,30,,1.0,479.0,12.3,True,unclassified,0.4666666666666667,1,4.506714940479592,10.955647441600403,10.955647441600403,0.4666666666666667,4.506714940479592,10.955647441600403,1,2,22.533333333333335
8,2016-03-03 21:44:00,2016-03-03 21:44:00,2016-03-03 19:12:00,2016-03-05 08:16:00,37.06666666666667,2,2,"JUNG1,LMKS",3.560003575779432,3.894994240992448,9.26511480841146,2016-03-03 19:12:00,2016-03-04 00:16:00,2016-03-03 22:28:00,2016-03-05 08:16:00,8,"APTY,BKSN,FSMT,JUNG,JUNG1,KIEL2,LMKS,NEWK",6,"APTY,BKSN,FSMT,JUNG,KIEL2,NEWK",4.526477242732338,4.396810514684224,5.873507822186104,core,supported_multi_station_candidate,A,False,2016,-3.993833333333334,462.3666666666667,10.989666666666666,5.334922510518934,False,,,,,,False,False,True,False,True,-3.605,464.9,5.465,65.30000000000001,18.0,0.0,2016-03-03 21:44:00,3,-1,,,,,False,unmatched,37.06666666666667,2,9.26511480841146,3.894994240992448,3.560003575779432,37.06666666666667,9.26511480841146,3.894994240992448,2,8,
9,2016-03-05 22:48:00,2016-03-05 22:48:00,2016-03-05 21:28:00,2016-03-06 23:36:00,26.133333333333333,2,2,"APTY,LMKS",3.441327181590366,4.085663315988671,4.93444825319308,2016-03-05 21:28:00,2016-03-06 00:08:00,2016-03-06 10:08:00,2016-03-06 23:36:00,8,"AATB,APTY,FSMT,JUNG1,KIEL2,LMKS,NEWK,OULU",6,"AATB,FSMT,JUNG1,KIEL2,NEWK,OULU",4.159756836280433,4.111594297583888,5.5674466942376295,core,supported_multi_station_candidate,A,False,2016,-10.07,591.0733333333334,19.53375,8.65589295279261,True,12.8,1.01,,372.0,17.0,False,False,False,False,False,-4.51,379.6,9.545,26.90000000000003,30.0,38.0,2016-03-05 22:48:00,3,31,,1.01,372.0,17.0,True,unclassified,26.133333333333333,2,4.93444825319308,4.085663315988671,3.441327181590366,26.133333333333333,4.93444825319308,4.085663315988671,2,8,12.8
10,2016-03-07 12:41:00,2016-03-07 12:41:00,2016-03-07 12:22:00,2016-03-08 20:04:00,31.7,2,2,"LMKS,NEWK",4.765271332730107,5.122774897460837,7.618452394986695,2016-03-07 12:22:00,2016-03-07 13:00:00,2016-03-08 05:36:00,2016-03-08 20:04:00,6,"AATB,FSMT,JUNG,JUNG1,LMKS,NEWK",4,"AATB,FSMT,JUNG,JUNG1",3.963341863724086,3.715058142569524,5.122774897460837,core,supported_multi_station_candidate,A,False,2016,-10.07,591.0733333333334,19.53375,8.940363715277778,False,19.683333333333334,,,,,False,False,True,True,True,-5.1899999999999995,617.4000000000001,14.475,135.15000000000003,44.0,212.0,2016-03-07 12:41:00,3,32,,1.38,590.0,20.1,True,unclassified,31.7,2,7.618452394986695,5.122774897460837,4.765271332730107,31.7,7.618452394986695,5.122774897460837,2,6,19.683333333333334
