group_id,n_support_flag,n_trigger_station,mean_support_drop,median_support_shift_h
1,2,1,3.7031768679971875,0.01666666666666665
2,5,3,4.214624659247003,0.0
3,3,2,3.8261332512257424,0.0166666666666666
4,1,1,4.405456036001148,0.0333333333333333
5,9,2,4.769647768073035,0.05
6,1,1,3.314543241962906,0.0833333333333333
7,2,1,3.60547914141979,0.0666666666666666
8,8,3,4.346875474692318,0.01666666666666665
9,3,1,3.835386406756784,0.0
10,5,4,4.014181179533342,0.06666666666666665
11,6,5,4.046970044121079,0.0
12,10,5,4.576132168463509,0.01666666666666665
13,6,4,4.178405852625369,0.0166666666666666
14,5,3,4.27589837590658,0.0333333333333333
15,1,1,3.957386265534612,0.0333333333333333
16,3,2,4.684952654438205,0.0833333333333333
17,3,2,5.1532089131919365,0.1333333333333333
18,1,1,3.5491492560191213,0.0
19,1,1,3.313709481627927,0.0333333333333333
20,3,2,4.321123417011859,0.0833333333333333
21,3,1,3.9373829087678174,0.04999999999999995
22,3,1,4.051263445374346,0.0
23,3,3,4.504516362258288,0.0333333333333333
24,3,1,3.8698608704237984,0.0333333333333333
25,6,1,5.185232110259555,0.0666666666666666
26,3,2,3.8626388234795046,0.0333333333333333
27,4,1,4.215673322456743,0.0
28,2,1,4.9060027447322305,0.0
29,4,2,3.9051486623763987,0.0166666666666666
30,1,1,3.4526392343923478,0.0333333333333333
31,2,1,3.985660418586972,0.0333333333333333
32,2,2,4.837125167972679,0.05
33,5,2,4.015230786757292,0.01666666666666665
34,5,4,4.898876440672855,0.0
35,9,3,4.770303707112821,0.0333333333333333
36,1,1,3.736375986740165,0.1
37,2,2,4.34391843512159,0.0333333333333333
38,4,3,4.546071681728042,0.01666666666666665
39,5,2,4.211157314232371,0.0
40,2,1,4.044359400932693,0.0
41,8,4,4.157845035496844,0.0666666666666666
42,4,4,4.104020402487967,0.05
43,3,1,3.8124814473474515,0.0333333333333333
44,1,1,3.535153739017796,0.0333333333333333
45,1,1,3.6252362769134536,0.01666666666666665
46,2,1,3.7681565898689002,0.0666666666666666
47,1,1,3.552866671330115,0.04999999999999995
48,2,1,3.573609410902974,0.0333333333333333
49,4,2,3.937355948205005,0.06666666666666665
50,6,5,4.276970283574645,0.0
51,5,2,4.046157670167169,0.0
52,1,1,3.497592944526976,0.01666666666666665
53,2,1,3.867916183436017,0.04999999999999995
54,3,1,3.6169231713343257,0.0
55,5,2,4.184395134283707,0.06666666666666665
56,1,1,3.556580415157449,0.0333333333333333
57,9,8,4.065665053329641,0.01666666666666665
58,1,1,3.3704622547155165,0.0666666666666666
59,2,1,3.7623532484247,0.0666666666666666
60,3,2,3.750630661752313,0.06666666666666665
61,8,4,4.064789987197034,0.0
62,1,1,3.542832758268768,0.0666666666666666
63,2,2,3.9923391972899838,0.05
64,1,1,4.254744404400963,0.0
65,2,1,3.9168139587759976,0.0333333333333333
66,1,1,3.80096647429968,0.0333333333333333
67,3,2,4.062836940344615,0.0
68,2,2,3.446669435399239,0.04999999999999995
69,2,1,3.5972643416828007,0.0333333333333333
70,3,2,3.73663309687768,0.05
71,5,2,3.7755549977185203,0.1166666666666666
72,5,3,4.105313658429237,0.01666666666666665
73,4,4,3.7725783748812,0.0666666666666666
74,1,1,3.48161091945832,0.1166666666666666
75,3,2,3.9982498442591683,0.01666666666666665
76,5,3,3.6327565623837756,0.0
77,5,4,3.9301947290943495,0.0333333333333333
78,3,3,3.940877108634569,0.04999999999999995
79,4,3,3.821589824433866,0.0333333333333333
80,1,1,3.6174665493170544,0.0
81,5,4,4.248541081924029,0.0333333333333333
82,3,1,3.5353603177871413,0.01666666666666665
83,3,1,3.7289134314128005,0.0
84,3,1,3.833497049667185,0.04999999999999995
85,3,1,3.8890933187727654,0.0333333333333333
86,2,1,3.3291571019328914,0.0
87,2,2,3.5158227319173414,0.04999999999999995
88,6,3,3.9359953201461693,0.06666666666666665
89,3,1,3.8227140357454585,0.0333333333333333
90,5,1,3.90513845456591,0.0333333333333333
91,5,4,3.960898873655463,0.0333333333333333
92,3,2,3.574849705700177,0.0166666666666666
93,5,3,4.275472415444051,0.0333333333333333
94,2,2,3.4128899537838535,0.04999999999999995
95,7,3,4.292759287974841,0.0
96,3,2,3.5358626616125064,0.0333333333333333
97,1,1,3.5177309928741067,0.0333333333333333
98,2,1,4.161932480332043,0.04999999999999995
99,4,2,3.784058514547273,0.04999999999999995
100,2,1,3.6434184390901967,0.04999999999999995
101,4,3,3.8375896950446524,0.01666666666666665
102,5,3,4.099147509442771,0.0333333333333333
103,3,1,4.067731523280556,0.01666666666666665
104,1,1,3.815144448029661,0.0833333333333333
105,2,1,3.9896350828283813,0.0
106,3,1,3.7384590144335186,0.0
107,3,1,3.765509209981315,0.0666666666666666
108,2,1,3.5594863460502255,0.0
109,2,2,3.8260885191903498,0.0666666666666666
110,6,3,4.461715048805196,0.0333333333333333
111,3,2,4.699416321818487,0.06666666666666665
112,1,1,3.6780903487502643,0.04999999999999995
113,4,3,3.8061603206838726,0.0333333333333333
114,4,1,4.044271668253855,0.0
115,3,1,4.069020726832656,0.01666666666666665
116,2,1,3.719997075439781,0.0333333333333333
117,1,1,3.9415168207563154,0.01666666666666665
118,3,1,3.605037021899917,0.0333333333333333
119,3,1,3.658950579799101,0.0
120,6,4,4.219346354989279,0.05
121,4,3,4.39153893500331,0.0333333333333333
122,9,5,4.551289430392055,0.01666666666666665
123,2,1,4.02295214198635,0.0
124,4,1,4.060000954159481,0.04999999999999995
125,6,3,4.13829431441226,0.04999999999999995
126,2,2,3.5559288054819502,0.1166666666666666
127,1,1,3.4667628902149046,0.0333333333333333
128,3,1,3.811815386844837,0.0333333333333333
129,7,5,4.292828078827318,0.0666666666666666
130,3,1,3.9354440348462334,0.0333333333333333
131,1,1,3.6610663313520795,0.0333333333333333
132,2,1,3.7763030397740573,0.0333333333333333
133,3,1,3.8827209083141057,0.05
134,1,1,3.643602367678723,0.0
135,1,1,3.6897189521432097,0.0333333333333333
136,3,2,3.7137406289085972,0.0333333333333333
137,2,1,3.6562501059765697,0.0666666666666666
138,1,1,3.4511149764591393,0.0333333333333333
139,5,4,4.049693499641414,0.0833333333333333
140,5,5,4.206914409237633,0.04999999999999995
141,5,3,4.032265368338732,0.04999999999999995
142,2,2,3.7331320118253464,0.0166666666666666
143,1,1,3.6176472444617644,0.04999999999999995
144,3,2,3.7698820746053747,0.09999999999999995
145,4,1,4.098505367335284,0.04999999999999995
146,1,1,3.863841650071177,0.0333333333333333
147,6,6,3.968528552669518,0.0
148,2,1,3.756341871440741,0.0333333333333333
149,3,2,3.816581094796697,0.0
150,4,2,3.8114525993784634,0.0333333333333333
151,2,2,3.810261917088136,0.0333333333333333
152,7,5,4.326602463876925,0.04999999999999995
