time,duration,magnitude,ons type,V max,B max
1957-10-12 23:00,27,1.09,,,
1957-10-14 04:36,46,1.18,SSC,,
1957-10-16 22:00,32,2.09,,,
1957-10-20 12:00,30,1.2,,,
1957-10-21 22:36,43,11.4,SSC,,
1957-10-24 20:00,36,0.92,,,
1957-10-27 16:00,36,1.21,,,
1957-10-29 22:00,75,1.38,,,
1957-11-02 20:00,30,0.93,,,
1957-11-04 07:00,32,1,,,
1957-11-05 20:00,19,0.77,,,
1957-11-06 18:18,31,2.56,SSC,,
1957-11-08 06:00,53,2.06,,,
1957-11-11 01:00,36,0.62,,,
1957-11-13 19:00,34,1.58,,,
1957-11-15 20:00,32,0.87,,,
1957-11-17 11:00,49,1.63,,,
1957-11-22 08:00,67,4.13,,,
1957-11-26 01:54,42,7.35,SSC,,
1957-11-29 02:00,45,1.7,,,
1957-12-01 03:36,22,0.88,SSC,,
1957-12-03 14:00,25,1.08,,,
1957-12-04 18:00,45,1.01,,,
1957-12-07 08:00,40,0.84,,,
1957-12-09 13:00,61,1.73,,,
1957-12-12 20:00,28,0.91,,,
1957-12-14 09:00,45,0.83,,,
1957-12-16 21:00,46,4.11,,,
1957-12-19 09:36,31,6.28,SSC,,
1957-12-20 22:00,35,2.31,,,
1957-12-22 17:00,21,1.57,,,
1957-12-24 01:00,68,4.12,,,
1957-12-27 20:00,47,2.36,,,
1957-12-30 07:00,55,2.93,,,
1958-01-01 14:00,29,0.96,,,
1958-01-03 14:00,28,1.32,,,
1958-01-04 23:00,54,1.33,,,
1958-01-09 22:00,70,1.64,,,
1958-01-14 10:00,37,0.96,,,
1958-01-16 07:00,30,1.99,,,
1958-01-17 17:00,36,2.87,,,
1958-01-20 15:00,32,2.1,,,
1958-01-22 05:00,54,1.06,,,
1958-01-25 10:48,40,0.95,SSC,,
1958-01-27 20:00,41,0.68,,,
1958-01-29 23:00,71,2.17,,,
1958-02-04 13:06,61,2.3,SSC,,
1958-02-08 00:00,46,2.16,,,
1958-02-11 01:24,29,7.83,SSC,,
1958-02-12 10:00,36,1.43,,,
